n_dogs,n_edges,config,mean_ms,p50_ms,p95_ms
3,3,python,37.8189,37.4119,37.6277
3,3,cpp-seq,9.9913,9.9669,10.0784
3,3,cpp-par,5.8369,5.6911,6.8160
4,6,python,54.6802,54.5615,55.5417
4,6,cpp-seq,14.7996,14.7439,15.0576
4,6,cpp-par,6.3767,5.9460,7.9362
5,10,python,73.8123,73.7856,74.1904
5,10,cpp-seq,20.3761,20.3657,20.5181
5,10,cpp-par,6.4296,6.2895,6.9250
